"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.090147,0.61193,0.0030713,-0.0011216,1,0.322,0.95,0,-0.678
0.088025,0.60711,0.0029187,-0.0012373,1,0.324,0.95,0,-0.676
0.085903,0.60229,0.0027661,-0.0013531,1,0.326,0.95,0,-0.674
0.082111,0.59387,0.0025131,-0.0015379,1,0.328,0.95,0,-0.672
0.077484,0.58366,0.0022097,-0.0017574,1,0.33,0.95,0,-0.67
0.072856,0.57345,0.0019064,-0.0019768,1,0.332,0.95,0,-0.668
0.067783,0.56257,0.0015784,-0.0022015,1,0.334,0.95,0,-0.666
0.061815,0.55036,0.0012014,-0.0024368,1,0.336,0.95,0,-0.664
0.055848,0.53815,0.00082429,-0.0026721,1,0.338,0.95,0,-0.662
0.04988,0.52594,0.00044722,-0.0029074,1,0.34,0.95,0,-0.66
0.043551,0.51416,0.00011248,-0.0030859,1,0.342,0.95,0,-0.658
0.037222,0.50238,-0.00022225,-0.0032645,1,0.344,0.95,0,-0.656
0.030893,0.4906,-0.00055699,-0.003443,1,0.346,0.95,0,-0.654
0.024695,0.47955,-0.0008126,-0.0035571,1,0.348,0.95,0,-0.652
0.018564,0.46886,-0.0010287,-0.0036388,1,0.35,0.95,0,-0.65
0.012432,0.45818,-0.0012447,-0.0037205,1,0.352,0.95,0,-0.648
0.0064508,0.44767,-0.001417,-0.0037671,1,0.354,0.95,0,-0.646
0.00076846,0.43752,-0.0015019,-0.0037437,1,0.356,0.95,0,-0.644
-0.0049137,0.42736,-0.0015868,-0.0037202,1,0.358,0.95,0,-0.642
-0.010596,0.41721,-0.0016717,-0.0036967,1,0.36,0.95,0,-0.64
-0.0157,0.40672,-0.0016693,-0.00358,1,0.362,0.95,0,-0.638
-0.020805,0.39623,-0.001667,-0.0034632,1,0.364,0.95,0,-0.636
-0.025909,0.38573,-0.0016646,-0.0033465,1,0.366,0.95,0,-0.634
-0.030546,0.37471,-0.0016501,-0.0031856,1,0.368,0.95,0,-0.632
-0.034948,0.36341,-0.0016294,-0.0030027,1,0.37,0.95,0,-0.63
-0.039351,0.35212,-0.0016088,-0.0028198,1,0.372,0.95,0,-0.628
-0.043472,0.34068,-0.0016036,-0.002628,1,0.374,0.95,0,-0.626
-0.047028,0.32897,-0.0016293,-0.0024185,1,0.376,0.95,0,-0.624
-0.050584,0.31726,-0.001655,-0.002209,1,0.378,0.95,0,-0.622
-0.05414,0.30555,-0.0016807,-0.0019994,1,0.38,0.95,0,-0.62
-0.056721,0.29478,-0.0017877,-0.0018066,1,0.382,0.95,0,-0.618
-0.059302,0.28401,-0.0018948,-0.0016137,1,0.384,0.95,0,-0.616
-0.061883,0.27324,-0.0020018,-0.0014208,1,0.386,0.95,0,-0.614
-0.063765,0.26444,-0.0021508,-0.0012639,1,0.388,0.95,0,-0.612
-0.065298,0.25662,-0.0023208,-0.001125,1,0.39,0.95,0,-0.61
-0.066831,0.2488,-0.0024908,-0.00098602,1,0.392,0.95,0,-0.608
-0.068008,0.2426,-0.0026579,-0.00087333,1,0.394,0.95,0,-0.606
-0.068471,0.23963,-0.0028192,-0.00081313,1,0.396,0.95,0,-0.604
-0.068935,0.23666,-0.0029806,-0.00075293,1,0.398,0.95,0,-0.602
-0.069398,0.23369,-0.003142,-0.00069273,1,0.4,0.95,0,-0.6
-0.068777,0.23641,-0.0032045,-0.00071996,1,0.402,0.95,0,-0.598
-0.068156,0.23914,-0.0032671,-0.00074718,1,0.404,0.95,0,-0.596
-0.067535,0.24187,-0.0033296,-0.00077441,1,0.406,0.95,0,-0.594
-0.066168,0.24795,-0.0032837,-0.00085406,1,0.408,0.95,0,-0.592
-0.064427,0.2557,-0.0031836,-0.00095993,1,0.41,0.95,0,-0.59
-0.062687,0.26346,-0.0030835,-0.0010658,1,0.412,0.95,0,-0.588
-0.060566,0.27228,-0.0029273,-0.0011893,1,0.414,0.95,0,-0.586
-0.057683,0.28325,-0.002659,-0.0013482,1,0.416,0.95,0,-0.584
-0.054801,0.29423,-0.0023907,-0.001507,1,0.418,0.95,0,-0.582
-0.051918,0.3052,-0.0021224,-0.0016658,1,0.42,0.95,0,-0.58
-0.047942,0.31739,-0.0017384,-0.0018383,1,0.422,0.95,0,-0.578
-0.043966,0.32958,-0.0013544,-0.0020109,1,0.424,0.95,0,-0.576
-0.039991,0.34177,-0.00097038,-0.0021834,1,0.426,0.95,0,-0.574
-0.035371,0.35389,-0.00056416,-0.0023352,1,0.428,0.95,0,-0.572
-0.030429,0.36598,-0.00014682,-0.0024766,1,0.43,0.95,0,-0.57
-0.025487,0.37807,0.00027051,-0.002618,1,0.432,0.95,0,-0.568
-0.020277,0.39003,0.00067454,-0.0027358,1,0.434,0.95,0,-0.566
-0.014535,0.40173,0.0010519,-0.0028063,1,0.436,0.95,0,-0.564
-0.0087919,0.41344,0.0014293,-0.0028768,1,0.438,0.95,0,-0.562
-0.0030492,0.42514,0.0018067,-0.0029472,1,0.44,0.95,0,-0.56
0.0032997,0.43695,0.0021081,-0.0029227,1,0.442,0.95,0,-0.558
0.0096487,0.44877,0.0024095,-0.0028982,1,0.444,0.95,0,-0.556
0.015998,0.46059,0.0027108,-0.0028736,1,0.446,0.95,0,-0.554
0.022548,0.47287,0.0029691,-0.0027846,1,0.448,0.95,0,-0.552
0.0292,0.48539,0.0032058,-0.0026634,1,0.45,0.95,0,-0.55
0.035852,0.49792,0.0034425,-0.0025422,1,0.452,0.95,0,-0.548
0.042411,0.51056,0.0036737,-0.0023986,1,0.454,0.95,0,-0.546
0.048787,0.52345,0.0038937,-0.0022105,1,0.456,0.95,0,-0.544
0.055162,0.53634,0.0041137,-0.0020224,1,0.458,0.95,0,-0.542
0.061538,0.54923,0.0043337,-0.0018343,1,0.46,0.95,0,-0.54
0.066654,0.56048,0.0045781,-0.0016453,1,0.462,0.95,0,-0.538
0.071769,0.57172,0.0048225,-0.0014563,1,0.464,0.95,0,-0.536
0.076885,0.58296,0.0050668,-0.0012673,1,0.466,0.95,0,-0.534
0.080368,0.59098,0.0052995,-0.0011361,1,0.468,0.95,0,-0.532
0.083035,0.59738,0.0055263,-0.0010339,1,0.47,0.95,0,-0.53
0.085703,0.60378,0.0057531,-0.00093167,1,0.472,0.95,0,-0.528
0.087288,0.60781,0.0059384,-0.00087607,1,0.474,0.95,0,-0.526
0.086707,0.60709,0.0060407,-0.00091375,1,0.476,0.95,0,-0.524
0.086127,0.60638,0.006143,-0.00095144,1,0.478,0.95,0,-0.522
0.085547,0.60566,0.0062452,-0.00098912,1,0.48,0.95,0,-0.52
0.081851,0.59831,0.0061509,-0.001151,1,0.482,0.95,0,-0.518
0.078155,0.59096,0.0060565,-0.001313,1,0.484,0.95,0,-0.516
0.074458,0.58362,0.0059621,-0.0014749,1,0.486,0.95,0,-0.514
0.069318,0.57371,0.0057391,-0.001671,1,0.488,0.95,0,-0.512
0.063457,0.56253,0.0054517,-0.0018843,1,0.49,0.95,0,-0.51
0.057595,0.55135,0.0051643,-0.0020975,1,0.492,0.95,0,-0.508
0.05139,0.53984,0.0048428,-0.0022986,1,0.494,0.95,0,-0.506
0.044497,0.52769,0.0044529,-0.0024751,1,0.496,0.95,0,-0.504
0.037605,0.51554,0.004063,-0.0026517,1,0.498,0.95,0,-0.502
0.030712,0.50338,0.0036732,-0.0028282,1,0.5,0.95,0,-0.5
0.023635,0.49157,0.0032929,-0.002913,1,0.502,0.95,0,-0.498
0.016557,0.47976,0.0029126,-0.0029977,1,0.504,0.95,0,-0.496
0.0094803,0.46794,0.0025323,-0.0030824,1,0.506,0.95,0,-0.494
0.0026187,0.45622,0.0021944,-0.003094,1,0.508,0.95,0,-0.492
-0.0041352,0.44455,0.0018776,-0.0030691,1,0.51,0.95,0,-0.49
-0.010889,0.43288,0.0015608,-0.0030442,1,0.512,0.95,0,-0.488
-0.017423,0.42105,0.0012644,-0.0029871,1,0.514,0.95,0,-0.486
-0.023518,0.4089,0.0010089,-0.0028658,1,0.516,0.95,0,-0.484
-0.029612,0.39674,0.00075332,-0.0027444,1,0.518,0.95,0,-0.482
-0.035707,0.38459,0.00049778,-0.002623,1,0.52,0.95,0,-0.48
-0.040822,0.37205,0.0002709,-0.0024445,1,0.522,0.95,0,-0.478
-0.045936,0.35951,4.4017e-05,-0.0022659,1,0.524,0.95,0,-0.476
-0.051051,0.34697,-0.00018287,-0.0020874,1,0.526,0.95,0,-0.474
-0.055288,0.33515,-0.0004105,-0.0019076,1,0.528,0.95,0,-0.472
-0.059084,0.32369,-0.0006385,-0.0017272,1,0.53,0.95,0,-0.47
-0.062881,0.31224,-0.0008665,-0.0015467,1,0.532,0.95,0,-0.468
-0.06614,0.30199,-0.0010921,-0.0013837,1,0.534,0.95,0,-0.466
-0.068324,0.29418,-0.0013128,-0.0012556,1,0.536,0.95,0,-0.464
-0.070507,0.28636,-0.0015335,-0.0011275,1,0.538,0.95,0,-0.462
-0.072691,0.27855,-0.0017542,-0.00099937,1,0.54,0.95,0,-0.46
-0.07306,0.27678,-0.0019114,-0.00096008,1,0.542,0.95,0,-0.458
-0.073428,0.27501,-0.0020687,-0.0009208,1,0.544,0.95,0,-0.456
