"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.078248,0.56788,0.00091185,0.00032423,1,0.376,0.95,0,-0.624
0.082,0.57589,0.0007122,0.00047626,1,0.378,0.95,0,-0.622
0.085752,0.58389,0.00051256,0.00062828,1,0.38,0.95,0,-0.62
0.089504,0.5919,0.0003129,0.0007803,1,0.382,0.95,0,-0.618
0.093256,0.59991,0.00011326,0.00093232,1,0.384,0.95,0,-0.616
0.097008,0.60791,-8.6387e-05,0.0010843,1,0.386,0.95,0,-0.614
0.096985,0.60776,-0.00034714,0.0010743,1,0.388,0.95,0,-0.612
0.095073,0.60354,-0.00063842,0.0009833,1,0.39,0.95,0,-0.61
0.093162,0.59931,-0.00092972,0.00089227,1,0.392,0.95,0,-0.608
0.091251,0.59509,-0.001221,0.00080124,1,0.394,0.95,0,-0.606
0.08934,0.59087,-0.0015123,0.00071021,1,0.396,0.95,0,-0.604
0.087429,0.58664,-0.0018036,0.00061919,1,0.398,0.95,0,-0.602
0.085518,0.58242,-0.0020949,0.00052816,1,0.4,0.95,0,-0.6
0.07966,0.57035,-0.002377,0.00031996,1,0.402,0.95,0,-0.598
0.073803,0.55829,-0.0026591,0.00011177,1,0.404,0.95,0,-0.596
0.067946,0.54622,-0.0029412,-9.6421e-05,1,0.406,0.95,0,-0.594
0.062089,0.53416,-0.0032233,-0.00030461,1,0.408,0.95,0,-0.592
0.056232,0.52209,-0.0035054,-0.00051281,1,0.41,0.95,0,-0.59
0.050374,0.51003,-0.0037875,-0.00072099,1,0.412,0.95,0,-0.588
0.044348,0.49806,-0.0040343,-0.00088561,1,0.414,0.95,0,-0.586
0.037984,0.48626,-0.0042104,-0.00096305,1,0.416,0.95,0,-0.584
0.03162,0.47446,-0.0043865,-0.0010405,1,0.418,0.95,0,-0.582
0.025256,0.46267,-0.0045625,-0.0011179,1,0.42,0.95,0,-0.58
0.018892,0.45087,-0.0047386,-0.0011954,1,0.422,0.95,0,-0.578
0.012527,0.43907,-0.0049147,-0.0012728,1,0.424,0.95,0,-0.576
0.0061632,0.42728,-0.0050907,-0.0013503,1,0.426,0.95,0,-0.574
0.00045934,0.4162,-0.005114,-0.001301,1,0.428,0.95,0,-0.572
-0.0049146,0.40547,-0.0050607,-0.0011883,1,0.43,0.95,0,-0.57
-0.010288,0.39475,-0.0050075,-0.0010756,1,0.432,0.95,0,-0.568
-0.015662,0.38403,-0.0049543,-0.00096292,1,0.434,0.95,0,-0.566
-0.021036,0.3733,-0.0049011,-0.00085024,1,0.436,0.95,0,-0.564
-0.02641,0.36258,-0.0048479,-0.00073755,1,0.438,0.95,0,-0.562
-0.031784,0.35186,-0.0047947,-0.00062487,1,0.44,0.95,0,-0.56
