"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021776,0.47074,0.00096317,0.0032914,1,0.544,0.95,0,-0.456
0.027708,0.48268,0.0012635,0.0034672,1,0.546,0.95,0,-0.454
0.033639,0.49462,0.0015639,0.003643,1,0.548,0.95,0,-0.452
0.03957,0.50657,0.0018642,0.0038187,1,0.55,0.95,0,-0.45
0.045501,0.51851,0.0021645,0.0039945,1,0.552,0.95,0,-0.448
0.051432,0.53045,0.0024649,0.0041702,1,0.554,0.95,0,-0.446
0.057363,0.5424,0.0027652,0.004346,1,0.556,0.95,0,-0.444
0.063295,0.55434,0.0030656,0.0045218,1,0.558,0.95,0,-0.442
0.069226,0.56628,0.0033659,0.0046975,1,0.56,0.95,0,-0.44
0.070716,0.5691,0.003653,0.0047388,1,0.562,0.95,0,-0.438
0.072206,0.57191,0.00394,0.0047802,1,0.564,0.95,0,-0.436
0.073697,0.57472,0.0042271,0.0048215,1,0.566,0.95,0,-0.434
0.075187,0.57754,0.0045141,0.0048628,1,0.568,0.95,0,-0.432
0.076677,0.58035,0.0048011,0.0049041,1,0.57,0.95,0,-0.43
0.078167,0.58317,0.0050882,0.0049454,1,0.572,0.95,0,-0.428
0.079657,0.58598,0.0053752,0.0049867,1,0.574,0.95,0,-0.426
0.081148,0.58879,0.0056623,0.0050281,1,0.576,0.95,0,-0.424
0.082638,0.59161,0.0059493,0.0050694,1,0.578,0.95,0,-0.422
0.084128,0.59442,0.0062363,0.0051107,1,0.58,0.95,0,-0.42
0.079567,0.58611,0.0061794,0.0048665,1,0.582,0.95,0,-0.418
0.075006,0.57779,0.0061224,0.0046224,1,0.584,0.95,0,-0.416
0.070445,0.56947,0.0060655,0.0043783,1,0.586,0.95,0,-0.414
0.065884,0.56116,0.0060085,0.0041341,1,0.588,0.95,0,-0.412
0.061323,0.55284,0.0059516,0.00389,1,0.59,0.95,0,-0.41
0.056762,0.54452,0.0058946,0.0036458,1,0.592,0.95,0,-0.408
0.052201,0.53621,0.0058377,0.0034017,1,0.594,0.95,0,-0.406
0.04764,0.52789,0.0057807,0.0031575,1,0.596,0.95,0,-0.404
0.043079,0.51957,0.0057238,0.0029134,1,0.598,0.95,0,-0.402
0.038518,0.51126,0.0056668,0.0026692,1,0.6,0.95,0,-0.4
0.032831,0.4987,0.0052311,0.0025985,1,0.602,0.95,0,-0.398
0.027144,0.48615,0.0047953,0.0025277,1,0.604,0.95,0,-0.396
0.021457,0.4736,0.0043596,0.0024569,1,0.606,0.95,0,-0.394
0.01577,0.46104,0.0039238,0.0023862,1,0.608,0.95,0,-0.392
0.010083,0.44849,0.0034881,0.0023154,1,0.61,0.95,0,-0.39
0.0043965,0.43593,0.0030524,0.0022446,1,0.612,0.95,0,-0.388
-0.0012905,0.42338,0.0026166,0.0021739,1,0.614,0.95,0,-0.386
-0.0069775,0.41083,0.0021809,0.0021031,1,0.616,0.95,0,-0.384
-0.012665,0.39827,0.0017452,0.0020324,1,0.618,0.95,0,-0.382
-0.018351,0.38572,0.0013094,0.0019616,1,0.62,0.95,0,-0.38
-0.022448,0.3739,0.00085328,0.0021337,1,0.622,0.95,0,-0.378
-0.026545,0.36208,0.00039715,0.0023058,1,0.624,0.95,0,-0.376
-0.030642,0.35026,-5.8983e-05,0.0024779,1,0.626,0.95,0,-0.374
-0.034739,0.33844,-0.00051512,0.00265,1,0.628,0.95,0,-0.372
-0.038835,0.32662,-0.00097126,0.0028222,1,0.63,0.95,0,-0.37
-0.042932,0.3148,-0.0014274,0.0029943,1,0.632,0.95,0,-0.368
-0.047029,0.30298,-0.0018835,0.0031664,1,0.634,0.95,0,-0.366
-0.051126,0.29116,-0.0023397,0.0033385,1,0.636,0.95,0,-0.364
-0.055223,0.27934,-0.0027958,0.0035106,1,0.638,0.95,0,-0.362
-0.059319,0.26752,-0.0032519,0.0036827,1,0.64,0.95,0,-0.36
-0.061037,0.26149,-0.0031793,0.0038265,1,0.642,0.95,0,-0.358
-0.062754,0.25546,-0.0031066,0.0039703,1,0.644,0.95,0,-0.356
-0.064471,0.24944,-0.0030339,0.004114,1,0.646,0.95,0,-0.354
-0.066188,0.24341,-0.0029612,0.0042578,1,0.648,0.95,0,-0.352
-0.067905,0.23738,-0.0028886,0.0044016,1,0.65,0.95,0,-0.35
-0.069622,0.23136,-0.0028159,0.0045453,1,0.652,0.95,0,-0.348
-0.071339,0.22533,-0.0027432,0.0046891,1,0.654,0.95,0,-0.346
-0.073056,0.2193,-0.0026705,0.0048329,1,0.656,0.95,0,-0.344
-0.074773,0.21328,-0.0025979,0.0049766,1,0.658,0.95,0,-0.342
-0.07649,0.20725,-0.0025252,0.0051204,1,0.66,0.95,0,-0.34
-0.075093,0.21162,-0.0022786,0.0050799,1,0.662,0.95,0,-0.338
-0.073696,0.21598,-0.002032,0.0050395,1,0.664,0.95,0,-0.336
-0.072298,0.22035,-0.0017854,0.004999,1,0.666,0.95,0,-0.334
-0.070901,0.22471,-0.0015388,0.0049585,1,0.668,0.95,0,-0.332
-0.069504,0.22908,-0.0012922,0.004918,1,0.67,0.95,0,-0.33
-0.068106,0.23344,-0.0010456,0.0048775,1,0.672,0.95,0,-0.328
-0.066709,0.23781,-0.00079899,0.004837,1,0.674,0.95,0,-0.326
-0.065312,0.24217,-0.00055239,0.0047965,1,0.676,0.95,0,-0.324
-0.063914,0.24654,-0.00030579,0.0047561,1,0.678,0.95,0,-0.322
-0.062517,0.2509,-5.9192e-05,0.0047156,1,0.68,0.95,0,-0.32
-0.058376,0.26293,-8.9595e-05,0.0045728,1,0.682,0.95,0,-0.318
-0.054234,0.27495,-0.00012,0.0044301,1,0.684,0.95,0,-0.316
-0.050093,0.28698,-0.0001504,0.0042873,1,0.686,0.95,0,-0.314
-0.045951,0.299,-0.0001808,0.0041446,1,0.688,0.95,0,-0.312
